date,BTC,ETH,BNB,XRP,ADA,DOGE,SOL,DOT,AVAX,LINK
2020-03-20,219298.329514,2504057.63799,6965457.92,511513197.8,685475524.7,301406598.0,,,,39390658.87
2020-03-21,128913.668363,1231842.11121,5811696.5,270014080.0,373674370.3,120948576.0,,,,19488573.19
2020-03-22,119115.990527,1055699.86532,4562736.86,221088260.9,320971901.9,156027627.0,,,,21634031.69
2020-03-23,164674.215785,1436796.12449,5299899.45,282036084.3,352778439.1,180308460.0,,,,23688851.36
2020-03-24,151138.009878,1244377.16334,4627182.29,250519379.8,283748059.1,283137113.0,,,,18400021.32
2020-03-25,132155.734989,1034248.74369,3607793.89,200584719.2,251249333.7,170824524.0,,,,11321064.3
2020-03-26,83026.555211,751060.63102,3439169.72,206023274.9,211454985.4,151160373.0,,,,6818801.71
2020-03-27,82914.968354,706948.54559,2778050.91,316147728.4,255624968.4,195811269.0,,,,8151561.2
2020-03-28,93159.693429,896032.10594,2478685.11,308477933.9,289141133.0,314932329.0,,,,11038170.15
2020-03-29,63311.627714,543997.0,2305768.52,187119450.1,189145475.1,156054263.0,,,,6879303.84
2020-03-30,118889.549992,764831.92747,4237647.48,181804091.3,224863601.5,116199882.0,,,,8453846.9
2020-03-31,72337.595259,547669.27789,5120471.15,158613778.6,166957955.0,67786701.0,,,,8612405.93
2020-04-01,97500.7524,680922.24747,4359956.32,184017110.9,245444045.6,152034474.0,,,,13433598.33
2020-04-02,149299.906871,1138977.66114,5332604.53,223398206.0,297957908.5,146749302.0,,,,13266669.39
2020-04-03,104080.276939,797546.11446,5030322.03,170663444.5,212823616.2,97617758.0,,,,8452189.45
2020-04-04,72990.861139,573508.14086,4840528.53,117148787.3,185229786.8,92364705.0,,,,6143193.28
2020-04-05,49685.356983,414987.45246,4275639.25,83641306.3,103731278.3,55344996.0,,,,3228659.23
2020-04-06,118052.000832,1636338.7311,5583296.76,225433233.4,350807966.8,210552139.0,,,,12222925.81
2020-04-07,103585.168918,1717962.82538,4718920.67,271460619.0,338110789.5,202961221.0,,,,30449781.01
2020-04-08,76059.145838,1023575.92076,4614905.63,154841655.0,220316016.7,90384907.0,,,,27092993.24
